Input data or print help ? Type [data]/help :


Number of equations to solve (problem size): 1000
1000
Leading dimension of array: 1000
1000
Number of trials to run: 500
500
Data alignment value (in Kbytes): 64
64
Current date/time: Wed Nov 21 15:53:16 2018

CPU frequency:    1.522 GHz
Number of CPUs: 1
Number of cores: 4
Number of threads: 4

Parameters are set to:

Number of tests: 1
Number of equations to solve (problem size) : 1000 
Leading dimension of array                  : 1000 
Number of trials to run                     : 500  
Data alignment value (in Kbytes)            : 64   

Maximum memory requested that can be used=8085536, at the size=1000

=================== Timing linear equation system solver ===================

Size   LDA    Align. Time(s)    GFlops   Residual     Residual(norm) Check
1000   1000   64     0.035      18.8458  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9816  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1348  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.3150  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.034      19.4159  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9904  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.3139  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.3396  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9693  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0275  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0368  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9624  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.4333  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9451  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1218  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.4786  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2710  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1157  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.3743  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2328  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.8202  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1059  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.4409  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0303  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9656  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.5828  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0325  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0422  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0650  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0638  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1408  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1233  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1798  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0249  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1069  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7102  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1173  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0124  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.8181  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0405  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.034      19.4283  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2389  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0665  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1167  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0195  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6689  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0885  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2367  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.5421  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0759  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9258  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.3073  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0808  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1671  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1288  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.3263  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1343  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9693  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.5170  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.034      19.4414  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2778  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.3645  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0927  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.8980  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0927  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.8970  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0825  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1480  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.3503  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2051  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0987  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.4449  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0601  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9961  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0786  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.3256  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1293  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0162  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.034      19.5231  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2589  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.034      19.4765  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.4220  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0786  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0146  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6030  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2041  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.034      19.4154  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1151  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.3195  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0493  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1206  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.4114  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0264  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9925  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.4541  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.034      19.3889  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0553  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1201  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9877  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0873  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2455  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.3195  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.3228  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0547  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.4770  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1458  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.3524  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2266  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.3806  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.034      19.4217  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0770  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0173  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1936  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1086  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.5586  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0220  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0264  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.5736  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2273  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0655  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9167  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0237  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1141  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1278  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0818  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1009  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2350  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.8288  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9967  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1108  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0048  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0694  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1245  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0369  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0808  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0476  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1525  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.5870  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9855  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1119  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.4985  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1157  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1628  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2710  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2112  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0933  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1163  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2860  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9870  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.3038  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6154  9.419757e-13 3.212379e-02   pass
