Input data or print help ? Type [data]/help :


Number of equations to solve (problem size): 1000
1000
Leading dimension of array: 100
100
Warning: incorrect parameter Leading dimension of array (100),
must be not less than (1000),
set to default value (1000).
Number of trials to run: 500
64
500
Data alignment value (in Kbytes): 64
Current date/time: Wed Nov 21 23:51:53 2018

CPU frequency:    1.522 GHz
Number of CPUs: 1
Number of cores: 4
Number of threads: 2

Parameters are set to:

Number of tests: 1
Number of equations to solve (problem size) : 1000 
Leading dimension of array                  : 1000 
Number of trials to run                     : 500  
Data alignment value (in Kbytes)            : 64   

Maximum memory requested that can be used=8085536, at the size=1000

=================== Timing linear equation system solver ===================

Size   LDA    Align. Time(s)    GFlops   Residual     Residual(norm) Check
1000   1000   64     0.047      14.0914  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1316  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1720  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1402  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.048      14.0754  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.052      12.9597  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.2294  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1424  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1293  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1391  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1439  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1400  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1514  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1376  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1033  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1275  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1331  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1209  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1045  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1553  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1588  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.0817  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1514  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1126  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1209  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.048      14.0152  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1742  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1286  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1442  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1637  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1313  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1361  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1577  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1547  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1435  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1532  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1517  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1499  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1691  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1338  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1224  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1114  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1567  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1325  9.419757e-13 3.212379e-02   pass
