Input data or print help ? Type [data]/help :


Number of equations to solve (problem size): 500
500
Leading dimension of array: 100
100
Warning: incorrect parameter Leading dimension of array (100),
must be not less than (500),
set to default value (500).
Number of trials to run: 500
64
500
Data alignment value (in Kbytes): 64
Current date/time: Wed Nov 21 23:53:54 2018

CPU frequency:    1.522 GHz
Number of CPUs: 1
Number of cores: 4
Number of threads: 2

Parameters are set to:

Number of tests: 1
Number of equations to solve (problem size) : 500  
Leading dimension of array                  : 500  
Number of trials to run                     : 500  
Data alignment value (in Kbytes)            : 64   

Maximum memory requested that can be used=2075536, at the size=500

=================== Timing linear equation system solver ===================

Size   LDA    Align. Time(s)    GFlops   Residual     Residual(norm) Check
500    500    64     0.009      9.4269   3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7250  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7710  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7513  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.6193  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7761  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.5905  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7544  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.6466  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7250  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7462  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7266  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7450  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7596  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.3982  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7313  3.533285e-13 4.672960e-02   pass
500    500    64     0.011      7.4564   3.533285e-13 4.672960e-02   pass
500    500    64     0.010      8.7756   3.533285e-13 4.672960e-02   pass
500    500    64     0.009      8.8543   3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.8125  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.6760  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.6795  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7694  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7313  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7415  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7576  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7364  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7627  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.6404  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7694  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.6613  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.6760  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7482  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7102  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.6710  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7297  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7812  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7627  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7808  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7891  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7149  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7329  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7627  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7808  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7165  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7923  3.533285e-13 4.672960e-02   pass
500    500    64     0.008      10.3858  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7431  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7415  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7793  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.6923  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7399  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7710  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7333  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7911  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7596  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7482  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7580  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7860  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.6923  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7777  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7266  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7860  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7895  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7266  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7994  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7446  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7875  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7580  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.6223  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7757  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7678  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.8157  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7580  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.8089  3.533285e-13 4.672960e-02   pass
500    500    64     0.008      10.3601  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7978  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7844  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7513  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7793  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.5536  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7611  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.6791  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7431  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.6806  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.6888  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7102  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7020  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7493  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7529  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7329  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7446  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.5650  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7384  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7911  3.533285e-13 4.672960e-02   pass
500    500    64     0.008      11.1143  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7513  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7674  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7627  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7710  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7513  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7493  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7348  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7297  3.533285e-13 4.672960e-02   pass
500    500    64     0.008      10.3498  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7596  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7560  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7990  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7446  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.6954  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7466  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7184  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7431  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7168  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7333  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7184  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7576  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.6563  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7694  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.6501  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7087  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7741  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7659  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7348  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7083  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7215  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7286  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7020  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.6791  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7580  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7611  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7297  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7395  3.533285e-13 4.672960e-02   pass
500    500    64     0.008      10.3629  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7399  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7662  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7493  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7282  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7513  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7282  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7611  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7118  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7647  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.6810  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7725  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7250  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.4891  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7662  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.6939  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7627  3.533285e-13 4.672960e-02   pass
500    500    64     0.007      11.7446  3.533285e-13 4.672960e-02   pass
