Input data or print help ? Type [data]/help :


Number of equations to solve (problem size): 1000
1000
Leading dimension of array: 100
100
Warning: incorrect parameter Leading dimension of array (100),
must be not less than (1000),
set to default value (1000).
Number of trials to run: 500
64
500
Data alignment value (in Kbytes): 64
Current date/time: Wed Nov 21 23:52:37 2018

CPU frequency:    1.522 GHz
Number of CPUs: 1
Number of cores: 4
Number of threads: 4

Parameters are set to:

Number of tests: 1
Number of equations to solve (problem size) : 1000 
Leading dimension of array                  : 1000 
Number of trials to run                     : 500  
Data alignment value (in Kbytes)            : 64   

Maximum memory requested that can be used=8085536, at the size=1000

=================== Timing linear equation system solver ===================

Size   LDA    Align. Time(s)    GFlops   Residual     Residual(norm) Check
1000   1000   64     0.036      18.6617  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.8916  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0193  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0972  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7917  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.8868  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7317  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.8531  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9510  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9392  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9698  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6497  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.037      18.2661  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9301  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7207  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0454  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.5576  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0776  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1244  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.8319  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6549  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.4873  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9493  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.5978  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.037      18.2567  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7045  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0721  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1026  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9033  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9278  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0156  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7792  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0162  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1343  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0269  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1568  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6924  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9377  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9537  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0195  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1726  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0966  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0813  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6217  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7029  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0356  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.8915  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9907  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9784  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9370  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6736  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.5834  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9038  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1042  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7124  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6929  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7548  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9087  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0200  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7381  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6924  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9848  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9639  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7255  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.8771  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.8766  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6643  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6061  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0059  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0264  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9698  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0195  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2738  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9855  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7071  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7250  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9505  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9892  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9805  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.8002  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0395  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9392  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9290  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0454  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1037  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1081  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6689  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6736  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9209  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0568  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6300  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9799  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0863  9.419757e-13 3.212379e-02   pass
